,Date,Avg Temp,Min Temp,Max Temp,Precip.,Snow,Wind Dir.,Wind Speed,Peak Wind Gust,Pressure,Total Sun
0,2022-01-21,40.8,33.8,48.0,0.0,,32.0,6.6,,1027.9,
1,2022-01-22,41.0,34.2,48.7,0.0,,37.0,6.5,,1030.8,
2,2022-01-23,42.4,36.3,48.7,0.0,,49.0,5.3,,1028.1,
3,2022-01-24,43.9,39.2,47.3,0.0,,40.0,4.9,,1028.8,
4,2022-01-25,46.2,39.7,50.7,0.0,,62.0,5.5,,1031.7,
5,2022-01-26,43.5,36.7,50.7,0.0,,48.0,5.3,,1030.7,
6,2022-01-27,45.9,37.9,55.2,0.0,,40.0,5.6,,1029.8,
7,2022-01-28,46.6,38.5,57.6,0.0,,36.0,6.5,,1032.1,
8,2022-01-29,47.8,36.1,59.9,0.0,,34.0,5.7,,1033.8,
9,2022-01-30,48.0,38.5,60.8,0.0,,27.0,3.7,,1030.1,
10,2022-01-31,46.6,34.2,60.4,0.0,,35.0,4.0,,1028.2,
11,2022-02-01,51.3,41.5,61.9,0.0,,23.0,9.6,,1030.0,
12,2022-02-02,51.1,40.3,65.5,0.0,,9.0,4.7,,1028.1,
13,2022-02-03,50.2,40.3,61.5,0.0,,322.0,4.0,,1023.1,
14,2022-02-04,49.3,43.7,55.8,0.0,,269.0,3.1,,1022.5,
15,2022-02-05,49.6,43.9,57.7,0.0,,39.0,9.4,,1025.3,
16,2022-02-06,46.0,38.5,55.8,0.0,,33.0,5.8,,1029.3,
17,2022-02-07,48.7,37.0,62.2,0.0,,41.0,6.8,,1030.4,
18,2022-02-08,50.4,41.4,60.3,0.0,,59.0,6.0,,1030.6,
19,2022-02-09,49.5,41.4,58.6,0.0,,59.0,3.9,,1030.2,
20,2022-02-10,48.7,38.7,59.9,0.0,,12.0,3.5,,1027.7,
21,2022-02-11,51.4,41.4,62.1,0.0,,17.0,4.2,,1025.7,
22,2022-02-12,50.9,44.4,58.6,0.0,,92.0,4.3,,1024.0,
23,2022-02-13,49.5,43.9,55.8,0.039,,222.0,8.5,,1020.1,
24,2022-02-14,46.6,41.2,53.4,0.0,,278.0,10.1,,1019.6,
25,2022-02-15,45.1,35.8,55.0,0.0,,273.0,6.0,,1028.0,
26,2022-02-16,48.9,40.5,58.6,0.0,,292.0,6.1,,1027.9,
27,2022-02-17,50.9,40.6,62.4,0.0,,152.0,3.4,,1026.7,
28,2022-02-18,53.2,42.1,64.6,0.0,,21.0,3.9,,1018.8,
29,2022-02-19,49.6,41.9,55.2,0.0,,47.0,11.1,,1022.3,
30,2022-02-20,46.0,35.4,57.4,0.0,,39.0,5.1,,1029.5,
31,2022-02-21,51.8,40.3,63.5,0.0,,25.0,5.6,,1028.7,
32,2022-02-22,54.5,41.9,67.1,0.0,,36.0,6.0,,1029.3,
33,2022-02-23,53.8,43.9,64.2,0.0,,51.0,5.2,,1024.1,
34,2022-02-24,52.3,43.9,61.0,0.012,,54.0,4.3,,1020.7,
35,2022-02-25,48.0,43.9,51.8,0.154,,44.0,10.3,,1024.7,
36,2022-02-26,47.1,44.1,49.3,0.134,,76.0,6.3,,1022.8,
37,2022-02-27,48.9,44.8,55.6,0.004,,81.0,3.6,,1023.4,
38,2022-02-28,51.3,41.9,61.7,0.0,,79.0,4.0,,1026.0,
39,2022-03-01,52.3,40.6,63.0,0.0,,266.0,4.8,,1025.3,
40,2022-03-02,53.6,46.6,60.6,0.0,,269.0,7.0,,1022.3,
41,2022-03-03,47.3,41.9,51.3,0.717,,279.0,4.6,,1017.1,
42,2022-03-04,48.0,41.9,55.8,0.0,,17.0,12.1,,1018.4,
43,2022-03-05,45.5,38.5,54.0,0.0,,38.0,4.8,,1018.4,
44,2022-03-06,45.9,38.7,52.0,0.232,,49.0,7.6,,1015.4,
45,2022-03-07,44.8,39.9,52.0,0.11,,108.0,6.3,,1014.8,
46,2022-03-08,46.9,41.9,54.5,0.0,,224.0,6.9,,1017.5,
47,2022-03-09,47.8,39.7,55.4,0.0,,192.0,4.2,,1021.2,
48,2022-03-10,51.4,46.2,58.6,0.106,,186.0,4.7,,1019.5,
49,2022-03-11,48.6,45.1,55.4,0.244,,221.0,9.3,,1014.1,
50,2022-03-12,47.1,39.6,54.5,0.028,,248.0,8.2,,1015.7,
51,2022-03-13,48.9,40.5,56.1,0.382,,227.0,7.1,,1013.4,
52,2022-03-14,45.7,43.0,53.1,0.528,,61.0,8.6,,1010.5,
53,2022-03-15,55.2,46.6,67.8,0.043,,48.0,9.6,,1012.7,
54,2022-03-16,54.9,47.3,63.5,0.0,,37.0,7.9,,1014.5,
55,2022-03-17,51.6,47.5,54.9,0.008,,33.0,12.7,,1021.0,
56,2022-03-18,50.9,45.3,56.8,0.0,,58.0,8.1,,1024.5,
57,2022-03-19,51.3,46.0,56.7,0.0,,75.0,5.8,,1024.6,
58,2022-03-20,51.8,47.8,56.8,0.264,,103.0,9.1,,1021.8,
59,2022-03-21,49.8,45.0,56.8,1.0,,130.0,8.1,,1020.1,
60,2022-03-22,48.9,46.2,53.2,0.047,,135.0,11.2,,1021.6,
61,2022-03-23,47.8,43.5,53.4,0.071,,84.0,8.5,,1021.5,
62,2022-03-24,48.7,45.0,52.9,0.244,,48.0,10.3,,1019.4,
63,2022-03-25,50.4,46.9,54.9,0.173,,35.0,9.1,,1018.1,
64,2022-03-26,49.8,46.4,55.4,0.0,,56.0,7.1,,1018.5,
65,2022-03-27,52.5,47.5,56.8,0.0,,,,,,
66,2022-03-28,53.1,45.3,62.4,0.0,,73.0,5.5,,1020.8,
67,2022-03-29,55.0,49.8,63.1,0.291,,46.0,3.2,,1009.9,
68,2022-03-30,51.4,46.0,53.6,0.039,,14.0,5.3,,1005.2,
69,2022-03-31,48.6,42.4,56.8,0.031,,298.0,7.0,,1006.6,
70,2022-04-01,44.8,38.5,52.2,0.004,,346.0,8.5,,1015.3,
71,2022-04-02,42.3,36.1,52.0,0.0,,15.0,7.3,,1020.5,
72,2022-04-03,42.3,33.6,52.0,0.0,,44.0,9.0,,1017.7,
73,2022-04-04,42.6,32.2,54.5,0.0,,45.0,11.7,,1016.1,
74,2022-04-05,44.1,38.8,52.9,0.0,,10.0,6.7,,1015.6,
75,2022-04-06,45.1,39.0,62.6,0.0,,240.0,5.6,,1015.5,
76,2022-04-07,52.5,44.1,67.6,0.0,,244.0,9.0,,1019.4,
77,2022-04-08,50.9,44.8,61.7,0.0,,243.0,10.3,,1019.4,
78,2022-04-09,54.0,48.9,64.6,0.0,,244.0,7.4,,1018.0,
79,2022-04-10,57.2,50.7,72.5,0.0,,122.0,7.0,,1014.5,
80,2022-04-11,57.4,48.7,72.9,0.169,,157.0,8.4,,1008.1,
81,2022-04-12,52.5,47.3,60.3,0.161,,225.0,6.5,,1009.3,
82,2022-04-13,52.9,42.8,66.6,0.0,,353.0,5.9,,1012.9,
83,2022-04-14,57.2,51.6,70.5,0.0,,33.0,7.0,,1017.8,
84,2022-04-15,60.6,50.9,75.6,0.0,,23.0,4.2,,1021.1,
85,2022-04-16,63.5,52.7,79.5,0.0,,2.0,5.2,,1020.8,
86,2022-04-17,63.1,53.4,77.9,0.0,,33.0,3.6,,1018.0,
87,2022-04-18,65.5,55.6,78.4,0.0,,6.0,7.5,,1013.6,
88,2022-04-19,55.0,42.8,66.7,0.602,,17.0,10.8,,1010.6,
89,2022-04-20,47.5,39.6,55.9,0.028,,6.0,12.0,,1008.0,
90,2022-04-21,49.8,40.8,63.0,0.051,,236.0,5.0,,1008.9,
91,2022-04-22,47.7,42.8,51.6,0.898,,205.0,10.3,,1001.8,
92,2022-04-23,46.6,41.2,53.8,0.075,,241.0,14.2,,1002.7,
93,2022-04-24,50.4,40.5,63.9,0.004,,240.0,6.1,,1012.2,
94,2022-04-25,54.1,46.6,69.3,0.0,,90.0,3.8,,1012.6,
95,2022-04-26,57.0,52.7,72.5,0.35,,114.0,5.2,,1012.4,
96,2022-04-27,54.7,51.4,63.5,0.043,,211.0,2.7,,1015.5,
97,2022-04-28,53.4,49.6,63.0,0.083,,42.0,5.8,,1019.8,
98,2022-04-29,59.0,51.8,72.9,0.0,,43.0,6.1,,1024.5,
99,2022-04-30,60.8,53.4,73.6,0.0,,346.0,4.3,,1022.1,
100,2022-05-01,62.4,55.2,77.9,0.0,,321.0,4.7,,1017.8,
101,2022-05-02,57.6,53.6,66.9,0.087,,8.0,6.5,,1011.2,
102,2022-05-03,55.9,52.0,63.5,0.102,,50.0,10.8,,1011.8,
103,2022-05-04,57.7,50.4,68.4,0.0,,42.0,9.8,,1016.1,
104,2022-05-05,58.8,51.1,74.1,0.0,,27.0,5.4,,1021.3,
