,Date,Start Timestamp,End Timestamp,Start Latitude,Start Longitude,End Latitude,End Longitude,Distance,Activity,Confidence
0,2022-01-21,2022-01-21 09:13:23+00:00,2022-01-21 09:20:45.491000+00:00,40.4072887,-3.7037391,40.4118401,-3.7052917,634,WALKING,HIGH
1,2022-01-21,2022-01-21 10:58:40.449000+00:00,2022-01-21 11:23:11.776000+00:00,40.4124269,-3.7045765,40.4083941,-3.6930145,1289,WALKING,HIGH
2,2022-01-21,2022-01-21 11:31:20.770000+00:00,2022-01-21 12:22:11.361000+00:00,40.4095404,-3.6928230,40.4181546,-3.7046289,2670,WALKING,HIGH
3,2022-01-21,2022-01-21 12:29:27.539000+00:00,2022-01-21 12:40:28.366000+00:00,40.4167013,-3.7044784,40.4185364,-3.7098021,607,WALKING,HIGH
4,2022-01-21,2022-01-21 14:40:28.840000+00:00,2022-01-21 14:48:36.275000+00:00,40.4163340,-3.7087356,40.4161470,-3.7032274,499,WALKING,HIGH
5,2022-01-21,2022-01-21 15:11:02.708000+00:00,2022-01-21 15:23:17.340000+00:00,40.4124826,-3.7052800,40.4068630,-3.7047980,735,WALKING,HIGH
6,2022-01-21,2022-01-21 21:08:06+00:00,2022-01-21 21:23:19.568000+00:00,40.4063987,-3.7061337,40.4063743,-3.7111053,678,WALKING,HIGH
7,2022-01-21,2022-01-21 21:30:12.074000+00:00,2022-01-21 21:51:11.379000+00:00,40.4070719,-3.7110282,40.4216969,-3.7000951,1876,IN_SUBWAY,MEDIUM
8,2022-01-21,2022-01-21 22:43:55.781000+00:00,2022-01-21 22:44:41.542000+00:00,40.4209117,-3.7006643,40.4205053,-3.7008911,56,WALKING,MEDIUM
9,2022-01-21,2022-01-21 22:51:35.496000+00:00,2022-01-21 23:03:08.789000+00:00,40.4196130,-3.7019988,40.4046866,-3.7023742,1710,IN_SUBWAY,LOW
10,2022-01-21,2022-01-21 23:03:08.789000+00:00,2022-01-21 23:09:02+00:00,40.4046866,-3.7023742,40.4070342,-3.7037554,372,WALKING,MEDIUM
11,2022-01-22,2022-01-22 13:44:08.923000+00:00,2022-01-22 13:47:11.168000+00:00,40.4072972,-3.7035877,40.4081165,-3.7016807,185,WALKING,HIGH
12,2022-01-22,2022-01-22 15:01:17.101000+00:00,2022-01-22 15:08:20.172000+00:00,40.4081668,-3.7017903,40.4071060,-3.7050640,301,WALKING,HIGH
13,2022-01-22,2022-01-22 18:37:41.763000+00:00,2022-01-22 18:55:14.149000+00:00,40.4071134,-3.7037140,40.4163303,-3.7032468,1114,WALKING,HIGH
14,2022-01-22,2022-01-22 19:06:49.667000+00:00,2022-01-22 19:15:06.142000+00:00,40.4170193,-3.7025161,40.4150713,-3.7079770,518,WALKING,HIGH
15,2022-01-22,2022-01-22 21:09:27.810000+00:00,2022-01-22 21:11:28.943000+00:00,40.4142897,-3.7080342,40.4147567,-3.7081179,52,WALKING,HIGH
16,2022-01-22,2022-01-22 22:51:11.013000+00:00,2022-01-22 22:56:19.785000+00:00,40.4140237,-3.7082006,40.4122329,-3.7103523,385,WALKING,HIGH
17,2022-01-22,2022-01-22 23:16:46.457000+00:00,2022-01-22 23:30:40.420000+00:00,40.4114211,-3.7086879,40.4065479,-3.7058855,1422,WALKING,LOW
18,2022-01-23,2022-01-23 10:01:21.183000+00:00,2022-01-23 10:03:22.127000+00:00,40.4067500,-3.7037008,40.4048706,-3.7030250,216,WALKING,HIGH
19,2022-01-23,2022-01-23 10:19:39.302000+00:00,2022-01-23 10:27:53.034000+00:00,40.4047452,-3.7023520,40.4169562,-3.7034907,1446,IN_SUBWAY,LOW
20,2022-01-23,2022-01-23 10:50:06.995000+00:00,2022-01-23 11:26:53.026000+00:00,40.4170420,-3.7023684,40.6475751,-3.7767919,27428,IN_TRAIN,MEDIUM
21,2022-01-23,2022-01-23 11:26:53.026000+00:00,2022-01-23 13:02:21.169000+00:00,40.6475751,-3.7767919,40.7281215,-3.8622652,12897,IN_PASSENGER_VEHICLE,LOW
22,2022-01-23,2022-01-23 14:45:21.414000+00:00,2022-01-23 15:08:26.906000+00:00,40.7285517,-3.8613424,40.6451826,-3.7766168,11703,IN_PASSENGER_VEHICLE,HIGH
23,2022-01-23,2022-01-23 15:14:42.582000+00:00,2022-01-23 16:04:40.217000+00:00,40.6451826,-3.7766386,40.4050341,-3.7025629,29310,IN_TRAIN,HIGH
