,Start Timestamp,End Timestamp,Start Latitude,Start Longitude,End Latitude,End Longitude,Distance,Activity,Confidence
0,2022-05-22 00:26:53.487000+00:00,2022-05-22 01:04:16.530000+00:00,47..7019914,-117..4127539,47..8158715,-117..3468857,16009,IN_PASSENGER_VEHICLE,HIGH
1,2022-05-22 21:48:14+00:00,2022-05-22 22:05:39+00:00,47..8566574,-117..2777957,47..7719874,-117..4023325,19129,IN_PASSENGER_VEHICLE,HIGH
2,2022-05-23 00:27:20+00:00,2022-05-23 00:47:08.449000+00:00,47..7731568,-117..4029817,47..8561191,-117..2749742,17875,IN_PASSENGER_VEHICLE,HIGH
3,2022-05-23 16:16:00.836000+00:00,2022-05-23 16:58:48.051000+00:00,47..8561216,-117..2749754,47..6676638,-117..4008391,28584,IN_PASSENGER_VEHICLE,HIGH
4,2022-05-23 23:08:05.143000+00:00,2022-05-23 23:44:36.050000+00:00,47..6684577,-117..4024072,47..8407460,-117..3540569,20647,IN_PASSENGER_VEHICLE,HIGH
5,2022-05-24 16:19:51.009000+00:00,2022-05-24 17:00:22.494000+00:00,47..8561173,-117..2749843,47..6668565,-117..4009948,26933,IN_PASSENGER_VEHICLE,HIGH
6,2022-05-24 23:02:16.220000+00:00,2022-05-24 23:31:33+00:00,47..6665513,-117..4005921,47..8017781,-117..3476578,17283,IN_PASSENGER_VEHICLE,HIGH
7,2022-05-24 23:41:37+00:00,2022-05-24 23:51:58+00:00,47..8028075,-117..3485837,47..8562982,-117..2755661,12385,IN_PASSENGER_VEHICLE,HIGH
8,2022-05-25 16:14:35.433000+00:00,2022-05-25 16:55:46.651000+00:00,47..8561196,-117..2749863,47..6669313,-117..4006631,25289,IN_PASSENGER_VEHICLE,HIGH
9,2022-05-25 22:58:36.596000+00:00,2022-05-25 23:47:08.292000+00:00,47..6666007,-117..4008660,47..8561214,-117..2749755,27729,IN_PASSENGER_VEHICLE,HIGH
10,2022-05-26 16:45:01+00:00,2022-05-26 17:25:30+00:00,47..8561353,-117..2755009,47..6572342,-117..4206701,32321,IN_PASSENGER_VEHICLE,HIGH
11,2022-05-26 17:51:24.239000+00:00,2022-05-26 17:54:42.256000+00:00,47..6592740,-117..4234987,47..6591740,-117..4207212,212,WALKING,HIGH
12,2022-05-26 19:00:14.904000+00:00,2022-05-26 19:32:32.750000+00:00,47..6589204,-117..4196675,47..6595812,-117..4209700,1045,WALKING,MEDIUM
13,2022-05-26 20:14:46.752000+00:00,2022-05-26 20:43:35.724000+00:00,47..6603309,-117..4210108,47..6592145,-117..4235073,1682,WALKING,LOW
14,2022-05-26 21:16:53.897000+00:00,2022-05-26 21:20:03.663000+00:00,47..6590751,-117..4220613,47..6578125,-117..4219329,140,WALKING,HIGH
15,2022-05-26 21:26:10+00:00,2022-05-26 22:04:27.957000+00:00,47..6579833,-117..4186338,47..8561202,-117..2749739,26134,IN_PASSENGER_VEHICLE,HIGH
16,2022-05-27 16:16:45.442000+00:00,2022-05-27 16:51:09.874000+00:00,47..8561196,-117..2749863,47..6689367,-117..4030832,26572,IN_PASSENGER_VEHICLE,HIGH
17,2022-05-27 23:12:34.564000+00:00,2022-05-28 00:05:54.615000+00:00,47..6682667,-117..4017874,47..8561209,-117..2749875,25005,IN_PASSENGER_VEHICLE,HIGH
18,2022-05-29 02:59:16+00:00,2022-05-29 03:28:25.019000+00:00,47..8561588,-117..2755897,47..7407295,-117..4284222,26907,IN_PASSENGER_VEHICLE,HIGH
19,2022-05-29 06:53:46+00:00,2022-05-29 07:23:03.384000+00:00,47..7414748,-117..4288110,47..8566454,-117..2768497,22062,IN_PASSENGER_VEHICLE,HIGH
